Image Name,Gender,Age,Emotion,Gender Prob,Age Prob,Emotion Prob,Top 3 Age,Conf,Top 3 Emotion,Conf
0115fd2f-348518ACC512_1_2024-01-21_174737256,Female,Age 25-37,Neutral,"0.3832,0.6168","Age 0-3: 0.0007,Age 4-7: 0.0015,Age 8-14: 0.0081,Age 15-24: 0.1275,Age 25-37: 0.5897,Age 38-47: 0.1940,Age 48-59: 0.0648,Age 60-100: 0.0138","Neutral: 0.5464,Happy: 0.0440,Sad: 0.1966,Surprised: 0.0966,Fear: 0.0127,Disgust: 0.0082,Angry: 0.0487,Contempt: 0.0469","['Age 25-37', 'Age 38-47', 'Age 15-24']",0.3957,"['Neutral', 'Sad', 'Surprised']",0.3498
0235a638-3485186E5006_1_20240117_145301,Male,Age 25-37,Neutral,"1.0000,0.0000","Age 0-3: 0.0053,Age 4-7: 0.0055,Age 8-14: 0.0084,Age 15-24: 0.0373,Age 25-37: 0.3226,Age 38-47: 0.2992,Age 48-59: 0.2283,Age 60-100: 0.0936","Neutral: 0.7767,Happy: 0.0217,Sad: 0.0733,Surprised: 0.0129,Fear: 0.0005,Disgust: 0.0110,Angry: 0.0928,Contempt: 0.0110","['Age 25-37', 'Age 38-47', 'Age 48-59']",0.023399999999999976,"['Neutral', 'Angry', 'Sad']",0.6839
025e5a41-3485189BE312_1_2024-01-21_120207746,Male,Age 38-47,Neutral,"1.0000,0.0000","Age 0-3: 0.0002,Age 4-7: 0.0001,Age 8-14: 0.0002,Age 15-24: 0.0035,Age 25-37: 0.0876,Age 38-47: 0.5371,Age 48-59: 0.3370,Age 60-100: 0.0344","Neutral: 0.8846,Happy: 0.0099,Sad: 0.0228,Surprised: 0.0063,Fear: 0.0006,Disgust: 0.0033,Angry: 0.0270,Contempt: 0.0455","['Age 38-47', 'Age 48-59', 'Age 25-37']",0.2001,"['Neutral', 'Contempt', 'Angry']",0.8391000000000001
0285b56e-3485186E2E32_1_20240121_095109,Male,Age 38-47,Neutral,"0.7259,0.2741","Age 0-3: 0.0001,Age 4-7: 0.0001,Age 8-14: 0.0005,Age 15-24: 0.0065,Age 25-37: 0.2346,Age 38-47: 0.7083,Age 48-59: 0.0437,Age 60-100: 0.0061","Neutral: 0.8807,Happy: 0.0084,Sad: 0.0076,Surprised: 0.0224,Fear: 0.0005,Disgust: 0.0007,Angry: 0.0265,Contempt: 0.0532","['Age 38-47', 'Age 25-37', 'Age 48-59']",0.4737,"['Neutral', 'Contempt', 'Angry']",0.8275
032f5f94-3485186E89B6_1_2024-01-27_184453949,Male,Age 48-59,Neutral,"0.9356,0.0644","Age 0-3: 0.0001,Age 4-7: 0.0001,Age 8-14: 0.0001,Age 15-24: 0.0026,Age 25-37: 0.0566,Age 38-47: 0.3961,Age 48-59: 0.5191,Age 60-100: 0.0255","Neutral: 0.5277,Happy: 0.0080,Sad: 0.1021,Surprised: 0.0273,Fear: 0.0066,Disgust: 0.0263,Angry: 0.2322,Contempt: 0.0698","['Age 48-59', 'Age 38-47', 'Age 25-37']",0.123,"['Neutral', 'Angry', 'Sad']",0.2955
0343f35f-3485186E89B6_1_2024-01-27_184336377,Male,Age 48-59,Angry,"0.9938,0.0062","Age 0-3: 0.0000,Age 4-7: 0.0000,Age 8-14: 0.0000,Age 15-24: 0.0000,Age 25-37: 0.0007,Age 38-47: 0.3884,Age 48-59: 0.5917,Age 60-100: 0.0192","Neutral: 0.1123,Happy: 0.0006,Sad: 0.0096,Surprised: 0.0084,Fear: 0.0000,Disgust: 0.0020,Angry: 0.8643,Contempt: 0.0029","['Age 48-59', 'Age 38-47', 'Age 60-100']",0.20329999999999998,"['Angry', 'Neutral', 'Sad']",0.752
040dba95-3485186E5006_1_20240113_144712,Male,Age 38-47,Neutral,"0.9992,0.0008","Age 0-3: 0.0000,Age 4-7: 0.0000,Age 8-14: 0.0001,Age 15-24: 0.0048,Age 25-37: 0.3792,Age 38-47: 0.5951,Age 48-59: 0.0196,Age 60-100: 0.0012","Neutral: 0.8652,Happy: 0.0060,Sad: 0.0019,Surprised: 0.0064,Fear: 0.0032,Disgust: 0.0263,Angry: 0.0111,Contempt: 0.0798","['Age 38-47', 'Age 25-37', 'Age 48-59']",0.21589999999999998,"['Neutral', 'Contempt', 'Disgust']",0.7854
048e6f60-3485186E5006_1_20240121_094623,Male,Age 25-37,Contempt,"0.9756,0.0244","Age 0-3: 0.0000,Age 4-7: 0.0000,Age 8-14: 0.0000,Age 15-24: 0.0001,Age 25-37: 0.5986,Age 38-47: 0.1479,Age 48-59: 0.2530,Age 60-100: 0.0004","Neutral: 0.3816,Happy: 0.0004,Sad: 0.0278,Surprised: 0.0000,Fear: 0.0000,Disgust: 0.0086,Angry: 0.0301,Contempt: 0.5514","['Age 25-37', 'Age 48-59', 'Age 38-47']",0.3456,"['Contempt', 'Neutral', 'Angry']",0.1698
04b2d251-3485186E7D7E_1_2024-01-24_152310963,Male,Age 38-47,Neutral,"0.9994,0.0006","Age 0-3: 0.0000,Age 4-7: 0.0000,Age 8-14: 0.0002,Age 15-24: 0.0037,Age 25-37: 0.2320,Age 38-47: 0.7074,Age 48-59: 0.0481,Age 60-100: 0.0086","Neutral: 0.7975,Happy: 0.0002,Sad: 0.0232,Surprised: 0.0021,Fear: 0.0001,Disgust: 0.0220,Angry: 0.1531,Contempt: 0.0017","['Age 38-47', 'Age 25-37', 'Age 48-59']",0.47540000000000004,"['Neutral', 'Angry', 'Sad']",0.6444
05130035-3485186E5006_1_2024-01-13_150412157,Female,Age 25-37,Neutral,"0.0001,0.9999","Age 0-3: 0.0000,Age 4-7: 0.0000,Age 8-14: 0.0000,Age 15-24: 0.0002,Age 25-37: 0.9657,Age 38-47: 0.0275,Age 48-59: 0.0064,Age 60-100: 0.0003","Neutral: 0.6278,Happy: 0.0523,Sad: 0.1016,Surprised: 0.0184,Fear: 0.0101,Disgust: 0.0076,Angry: 0.0184,Contempt: 0.1638","['Age 25-37', 'Age 38-47', 'Age 48-59']",0.9382,"['Neutral', 'Contempt', 'Sad']",0.464
0632c5fd-3485186E2E32_1_20240121_160319,Female,Age 38-47,Contempt,"0.0003,0.9997","Age 0-3: 0.0001,Age 4-7: 0.0001,Age 8-14: 0.0005,Age 15-24: 0.0161,Age 25-37: 0.3403,Age 38-47: 0.5010,Age 48-59: 0.1278,Age 60-100: 0.0141","Neutral: 0.1320,Happy: 0.1360,Sad: 0.0942,Surprised: 0.0620,Fear: 0.0152,Disgust: 0.0103,Angry: 0.0190,Contempt: 0.5314","['Age 38-47', 'Age 25-37', 'Age 48-59']",0.1607,"['Contempt', 'Happy', 'Neutral']",0.3954
065c6b7f-3485186E5006_1_20240117_145107,Male,Age 38-47,Neutral,"0.9994,0.0006","Age 0-3: 0.0000,Age 4-7: 0.0000,Age 8-14: 0.0000,Age 15-24: 0.0009,Age 25-37: 0.1651,Age 38-47: 0.8217,Age 48-59: 0.0111,Age 60-100: 0.0013","Neutral: 0.9541,Happy: 0.0009,Sad: 0.0038,Surprised: 0.0029,Fear: 0.0001,Disgust: 0.0006,Angry: 0.0192,Contempt: 0.0184","['Age 38-47', 'Age 25-37', 'Age 48-59']",0.6566,"['Neutral', 'Angry', 'Contempt']",0.9349
06cfb139-348518ACC512_1_20240114_173339,Male,Age 25-37,Neutral,"1.0000,0.0000","Age 0-3: 0.0000,Age 4-7: 0.0000,Age 8-14: 0.0002,Age 15-24: 0.0244,Age 25-37: 0.6756,Age 38-47: 0.2159,Age 48-59: 0.0818,Age 60-100: 0.0021","Neutral: 0.8393,Happy: 0.0132,Sad: 0.0496,Surprised: 0.0241,Fear: 0.0097,Disgust: 0.0055,Angry: 0.0107,Contempt: 0.0478","['Age 25-37', 'Age 38-47', 'Age 48-59']",0.4597,"['Neutral', 'Sad', 'Contempt']",0.7897000000000001
0724a97e-348518ACC526_1_2024-01-24_155308377,Male,Age 38-47,Neutral,"0.9972,0.0028","Age 0-3: 0.0000,Age 4-7: 0.0000,Age 8-14: 0.0000,Age 15-24: 0.0000,Age 25-37: 0.0193,Age 38-47: 0.9557,Age 48-59: 0.0101,Age 60-100: 0.0150","Neutral: 0.7507,Happy: 0.0003,Sad: 0.0447,Surprised: 0.0167,Fear: 0.0002,Disgust: 0.0047,Angry: 0.1819,Contempt: 0.0009","['Age 38-47', 'Age 25-37', 'Age 60-100']",0.9364,"['Neutral', 'Angry', 'Sad']",0.5688
