Image Name,Gender,Age,Emotion,Gender Prob,Age Prob,Emotion Prob,Top 3 Age,Conf,Top 3 Emotion,Conf
002948b3-57ce-40f0-a291-a3dd56aecfcc,Male,Age 4-7,Neutral,"0.9264,0.0736","Age 0-3: 0.0110,Age 4-7: 0.6673,Age 8-14: 0.3118,Age 15-24: 0.0093,Age 25-37: 0.0004,Age 38-47: 0.0000,Age 48-59: 0.0000,Age 60-100: 0.0001","Neutral: 0.3634,Happy: 0.3186,Sad: 0.0079,Surprised: 0.0522,Fear: 0.0013,Disgust: 0.0026,Angry: 0.0160,Contempt: 0.2380","['Age 4-7', 'Age 8-14', 'Age 0-3']",0.3555,"['Neutral', 'Happy', 'Contempt']",0.044800000000000006
01070884-a426-4be7-a54a-df81d9b144dc,Male,Age 0-3,Neutral,"0.8783,0.1217","Age 0-3: 0.9172,Age 4-7: 0.0638,Age 8-14: 0.0161,Age 15-24: 0.0012,Age 25-37: 0.0009,Age 38-47: 0.0000,Age 48-59: 0.0001,Age 60-100: 0.0006","Neutral: 0.4115,Happy: 0.0581,Sad: 0.0202,Surprised: 0.0832,Fear: 0.2154,Disgust: 0.0175,Angry: 0.0040,Contempt: 0.1903","['Age 0-3', 'Age 4-7', 'Age 8-14']",0.8534,"['Neutral', 'Fear', 'Contempt']",0.19609999999999997
0161fed9-c957-4959-b2ab-a933c8cc820e,Female,Age 4-7,Neutral,"0.2167,0.7833","Age 0-3: 0.0246,Age 4-7: 0.5429,Age 8-14: 0.3887,Age 15-24: 0.0359,Age 25-37: 0.0062,Age 38-47: 0.0002,Age 48-59: 0.0002,Age 60-100: 0.0011","Neutral: 0.6187,Happy: 0.1931,Sad: 0.0053,Surprised: 0.0088,Fear: 0.0002,Disgust: 0.0006,Angry: 0.0034,Contempt: 0.1699","['Age 4-7', 'Age 8-14', 'Age 15-24']",0.15420000000000006,"['Neutral', 'Happy', 'Contempt']",0.42560000000000003
04003814-43b0-4330-b69d-e5c47ea38534,Male,Age 8-14,Neutral,"1.0000,0.0000","Age 0-3: 0.0000,Age 4-7: 0.3902,Age 8-14: 0.6098,Age 15-24: 0.0000,Age 25-37: 0.0000,Age 38-47: 0.0000,Age 48-59: 0.0000,Age 60-100: 0.0000","Neutral: 0.7595,Happy: 0.0953,Sad: 0.0022,Surprised: 0.0364,Fear: 0.0000,Disgust: 0.0002,Angry: 0.1022,Contempt: 0.0041","['Age 8-14', 'Age 4-7', 'Age 60-100']",0.21960000000000002,"['Neutral', 'Angry', 'Happy']",0.6573
06322e62-b8ff-43a3-9198-1c45d80af9fb,Male,Age 8-14,Neutral,"0.9061,0.0939","Age 0-3: 0.0001,Age 4-7: 0.3073,Age 8-14: 0.6626,Age 15-24: 0.0299,Age 25-37: 0.0001,Age 38-47: 0.0000,Age 48-59: 0.0000,Age 60-100: 0.0000","Neutral: 0.4951,Happy: 0.3694,Sad: 0.0040,Surprised: 0.0420,Fear: 0.0000,Disgust: 0.0005,Angry: 0.0357,Contempt: 0.0532","['Age 8-14', 'Age 4-7', 'Age 15-24']",0.35529999999999995,"['Neutral', 'Happy', 'Contempt']",0.12569999999999998
0adc03fe-d194-4fc5-9ea3-b4506da7a379,Male,Age 0-3,Surprised,"0.9966,0.0034","Age 0-3: 0.9414,Age 4-7: 0.0484,Age 8-14: 0.0076,Age 15-24: 0.0007,Age 25-37: 0.0006,Age 38-47: 0.0000,Age 48-59: 0.0003,Age 60-100: 0.0010","Neutral: 0.2483,Happy: 0.0792,Sad: 0.0267,Surprised: 0.5299,Fear: 0.0001,Disgust: 0.0007,Angry: 0.1079,Contempt: 0.0072","['Age 0-3', 'Age 4-7', 'Age 8-14']",0.893,"['Surprised', 'Neutral', 'Angry']",0.2816000000000001
0c0bf5ac-d954-42ab-b09d-2c4949defa86,Male,Age 8-14,Neutral,"0.9992,0.0008","Age 0-3: 0.0000,Age 4-7: 0.0137,Age 8-14: 0.9577,Age 15-24: 0.0284,Age 25-37: 0.0002,Age 38-47: 0.0000,Age 48-59: 0.0000,Age 60-100: 0.0000","Neutral: 0.9982,Happy: 0.0005,Sad: 0.0000,Surprised: 0.0008,Fear: 0.0000,Disgust: 0.0000,Angry: 0.0003,Contempt: 0.0001","['Age 8-14', 'Age 15-24', 'Age 4-7']",0.9293,"['Neutral', 'Surprised', 'Happy']",0.9974
0f273257-fd0f-48cb-8579-df317a92f969,Male,Age 8-14,Neutral,"0.9069,0.0931","Age 0-3: 0.0000,Age 4-7: 0.3712,Age 8-14: 0.6119,Age 15-24: 0.0166,Age 25-37: 0.0002,Age 38-47: 0.0000,Age 48-59: 0.0000,Age 60-100: 0.0000","Neutral: 0.7780,Happy: 0.0491,Sad: 0.0443,Surprised: 0.0310,Fear: 0.0020,Disgust: 0.0011,Angry: 0.0140,Contempt: 0.0805","['Age 8-14', 'Age 4-7', 'Age 15-24']",0.24070000000000003,"['Neutral', 'Contempt', 'Happy']",0.6975
0fb9f415-a0e9-4c88-8159-06d4ef308670,Male,Age 8-14,Happy,"0.9914,0.0086","Age 0-3: 0.0000,Age 4-7: 0.4037,Age 8-14: 0.5610,Age 15-24: 0.0351,Age 25-37: 0.0001,Age 38-47: 0.0000,Age 48-59: 0.0000,Age 60-100: 0.0000","Neutral: 0.1244,Happy: 0.8047,Sad: 0.0004,Surprised: 0.0156,Fear: 0.0000,Disgust: 0.0006,Angry: 0.0150,Contempt: 0.0394","['Age 8-14', 'Age 4-7', 'Age 15-24']",0.15730000000000005,"['Happy', 'Neutral', 'Contempt']",0.6803
106a4dd2-229c-4a8b-b0c4-2eb452507db7,Male,Age 4-7,Happy,"0.8500,0.1500","Age 0-3: 0.0167,Age 4-7: 0.8984,Age 8-14: 0.0847,Age 15-24: 0.0001,Age 25-37: 0.0000,Age 38-47: 0.0000,Age 48-59: 0.0000,Age 60-100: 0.0000","Neutral: 0.0531,Happy: 0.9028,Sad: 0.0012,Surprised: 0.0283,Fear: 0.0000,Disgust: 0.0002,Angry: 0.0042,Contempt: 0.0102","['Age 4-7', 'Age 8-14', 'Age 0-3']",0.8137,"['Happy', 'Neutral', 'Surprised']",0.8497
